> Shore Bin # 131, Level 1
-130	53.8693827726
-129.315175097	53.3711757076
-129.234302281	53.4508278019
-129.307698177	53.6475165942
-129.03105211	53.7532616159
-129.085221637	53.8345922026
-128.973678187	53.7692835889
-129.01014725	53.8945601587
-128.933394369	53.7782864118
-128.686045624	53.9975585565
-128.713206683	53.8757915618
-128.479896239	53.813229572
-128.683604181	53.8541237507
-128.796673533	53.7848477913
-128.769817655	53.5474174105
-128.544594491	53.4273289082
-128.372472724	53.5074387732
-128.121309224	53.4914168002
-128.001068132	53.3398947127
-128.128175784	53.3333333333
-128.136263066	53.4482337682
-128.363469902	53.4784466316
-128.526436255	53.4074921798
-128.475013352	53.3257038224
-128.816357671	53.5683222705
-128.988632029	53.544975967
-128.925917449	53.4444190127
-128.841535058	53.4746318761
-128.853131914	53.2689402609
-128.658121614	53.1807431144
-128.68314641	53.2419317922
-128.581521324	53.128252079
-128.479896239	53.1464103151
-128.558175021	53.086442359
-128.430457008	53.0951400015
-128.553597314	53.0702677958
-128.504310674	52.9308003357
-128.412603952	52.9416342412
-128.502632181	52.9216449226
-128.437628748	52.8149843595
-128.243381399	52.7986572061
-128.135805295	52.9283588922
-128.03509575	52.9178301671
-128.1326009	52.7682917525
-127.831845579	52.7362478065
-128.117494469	52.7591363394
-128.199130236	52.4832532235
-128.41092546	52.2908369574
-128.282597086	52.264133669
-128.050049592	52.6520180056
-128.029297322	52.3199816892
-127.962767987	52.4776073854
-127.976501106	52.3132677195
-127.889677272	52.5009536889
-127.870145724	52.4957656214
-127.910887312	52.4434271763
-127.876401923	52.1962310216
-127.723353933	52.3581292439
-127.757076371	52.2691691463
-127.415121691	52.4065003433
-127.627679866	52.6065461204
-127.343099107	52.4173342489
-127.238422217	52.5786221103
-127.004043641	52.666208896
-127.244983597	52.5131609064
-127.215991455	52.3843747616
-127.008926528	52.3050278477
-127.178912032	52.3147936217
-127.472037842	52.1889066911
-127.374837873	52.1074235142
-127.612726024	52.0286869612
-127.461356527	52.1319905394
-127.607995727	52.1217669947
-127.67254139	51.9508659495
-127.885862516	51.9008163577
-127.899137865	51.8191805905
-127.859311818	51.6475165942
-127.682459754	51.6083009079
-127.785915923	51.6116578927
-127.802548257	51.5324635691
-127.650873579	51.5233081559
-127.678339818	51.4621194781
-127.459067674	51.6833752956
-127.660944533	51.7074845502
-127.457541772	51.6958876936
-127.363393606	51.8704509041
-127.454184787	51.6649118791
-127.245746548	51.6816968032
-127.509269856	51.6241702907
-127.567559319	51.4816510262
-127.245746548	51.4058136873
-127.551689937	51.4019989319
-127.465934234	51.4358739605
-127.573357748	51.4729533837
-127.782558938	51.3217364767
-127.377126726	51.397878996
-127.542534524	51.3208209354
-127.060959792	51.3516441596
-127.47005417	51.266193637
-127.582513161	51.2690928511
-127.375906004	51.2957961395
-127.600061036	51.3044937819
-127.772487984	51.2483405814
-127.785915923	51.1624322881
-127.508354314	51.095445182
-127.615930419	51.1450370031
-127.250019074	51.2112611582
-127.392843519	51.1801327535
-127.412527657	51.13588159
-126.910048066	51.1030746929
-127.557488365	51.1267261769
-127.197528038	51.09407187
-127.469138628	51.0908674754
-127.339894713	51.047379263
-126.793774319	51.081559472
-126.656595712	51.195849546
-126.781872282	51.0675211719
-127.318379492	51.0328831922
-127.503318837	51.0995651179
-127.530785077	51.0141145953
-127.028305486	50.8178835737
-126.895857176	50.8867017624
-127.190814069	50.9291218433
-126.901808194	50.8937209125
-126.788281071	50.997940032
-126.780041199	50.9353780423
-126.637521935	50.9333943694
-126.840924697	50.9117265583
-126.664988174	50.8662546731
-126.525825895	50.9968719005
-126.193331807	50.9478904402
-126.461738003	50.8737315938
-126.493324178	50.925459678
-126.585946441	50.8491645686
-126.180056458	50.8737315938
-126.193331807	50.7812619211
-126.019989319	50.8070496681
-126.183260853	50.6678873884
-125.709163043	50.7167162585
-125.536736095	50.9962615396
-125.730067903	50.6594949264
-126.299229419	50.6317235065
-126.196688792	50.5795376516
-125.940032044	50.6378271153
-126.284122988	50.5166704814
-126.093385214	50.4837109941
-125.936675059	50.5619897765
-126.057221332	50.4950026703
-125.963378347	50.4678416114
-125.725032425	50.5279621576
-125.819180591	50.4899671931
-125.699244678	50.4899671931
-125.706721599	50.4213015946
-125.471732662	50.7212939651
-125.5959411	50.4492256046
-125.416647593	50.4579232471
-125.366750591	50.5578698405
-125.312428473	50.4567025254
-125.258411536	50.5046158541
-125.227588312	50.4249637598
-125.117570764	50.4283207446
-124.904859998	50.61326009
-124.981612879	50.8113221942
-124.821545739	50.9291218433
-124.92011902	50.8024719615
-124.863355459	50.5934233616
-125.050888838	50.4812695506
-125.080949111	50.3241016251
-124.983443961	50.3775082017
-125.006637675	50.4463263905
-124.958419165	50.3323414969
-124.827954528	50.3076218814
-124.669871061	50.4322880903
-124.339818418	50.5067521172
-124.736705577	50.3263904784
-124.593423362	50.2424658579
-124.80857557	50.0767528801
-124.712443732	50.082246128
-124.68314641	50
> Shore Bin # 131, Level 1
-125.228351263	50
-125.389181353	50.1275654231
-125.445029374	50.3353933013
-126.868390936	50.52964065
-127.903410391	50.8744945449
-128.43228809	50.7855344472
-128.048371099	50.4423590448
-128.004577707	50.5387960632
-127.991760128	50.4663157092
-127.559166857	50.5542076753
-128.011291676	50.6530861372
-127.558251316	50.5687037461
-127.419241627	50.6057831693
-127.610894942	50.5258258946
-127.433279927	50.337987335
-127.58159762	50.4895094224
-127.939116503	50.4641794461
-127.977569238	50.3250171664
-127.722590982	50.2958724346
-127.864194705	50.289921416
-127.729304952	50.2407873655
